WARD,BIA,DAYS SERVICED,ASSET TYPE,STATUS
10,Liberty Village,7,WR1,Existing
10,Liberty Village,7,WR1,Existing
11,Bloorcourt Village,7,WR2,Temporarily Removed
11,Bloorcourt Village,7,WR2,Existing
11,Mirvish Village,7,WR1,Temporarily Removed
11,Korea Town,7,WR1,Existing
11,Little Italy,7,WR1,Existing
11,Little Italy,7,WR1,Existing
11,Little Italy,7,WR1,Temporarily Removed
11,Little Italy,7,WR1,Temporarily Removed
09,Dovercourt Village,1,WR1,Existing
07,Emery Village,5,WR3,Temporarily Removed
07,Emery Village,5,WR2,Existing
06,Wilson Village,5,WR2,Existing
18,Willowdale,5,WR2,Existing
18,Willowdale,4,WR2,Existing
03,Village of Islington,5,WR2,Existing
13,Downtown Yonge,7,WR4,Existing
18,Willowdale,7,WR2,Existing
14,Gerrard India Bazaar,7,WR4,Existing
19,The Beach,7,WR4,Existing
11,Rosedale Main Street,7,WR2,Existing
11,Korea Town,7,WR1,Existing
11,Little Italy,7,WR1,Existing
19,The Beach,7,WR4,Existing
04,Parkdale Village,7,WR2,Temporarily Removed
10,CityPlace and Fort York,7,WR4,Existing
10,Toronto Downtown West,7,WR1,Existing
13,Downtown Yonge,7,WR4,Existing
13,Downtown Yonge,7,WR4,Existing
01,Albion Islington Square,5,WR2,Existing
10,Liberty Village,7,WR1,Existing
10,Toronto Downtown West,7,WR1,Temporarily Removed
10,Ossington Avenue,5,WR4,Existing
10,Toronto Downtown West,7,WR2,Temporarily Removed
19,The Beach,7,WR2,Existing
19,Danforth Mosaic,7,WR2,Existing
14,Leslieville,7,WR1,Existing
19,Danforth Village,3,WR2,Temporarily Removed
14,Greektown on the Danforth,7,WR2,Existing
08,Uptown Yonge,7,WR2,Existing
10,CityPlace and Fort York,7,WR2,Existing
06,DuKe Heights,5,WR1,Temporarily Removed
06,DuKe Heights,5,WR2,Existing
06,DuKe Heights,5,WR1,Existing
06,DuKe Heights,5,WR1,Existing
06,DuKe Heights,5,WR1,Temporarily Removed
03,Long Branch,7,WR4,Existing
10,St. Lawrence Market Neighbourhood,7,WR3,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
10,Financial District,7,WR4,Existing
13,St. Lawrence Market Neighbourhood,5,WR3,Existing
13,St. Lawrence Market Neighbourhood,5,WR2,Existing
13,St. Lawrence Market Neighbourhood,5,WR2,Existing
13,Downtown Yonge,7,WR4,Temporarily Removed
13,Historic Queen East,7,WR3,Temporarily Removed
04,Baby Point Gates,5,WR1,Temporarily Removed
03,Shop The Queensway,5,WR2,Temporarily Removed
03,Lakeshore Village,7,WR4,Existing
07,Emery Village,3,WR1,Temporarily Removed
07,Emery Village,5,WR1,Existing
06,DuKe Heights,5,WR2,Existing
10,Financial District,7,WR4,Existing
12,The Eglinton Way,1,WR1,Temporarily Removed
05,Eglinton Hill,5,WR4,Temporarily Removed
01,Albion Islington Square,5,WR2,Existing
