"","key","DAYS.SERVICED","ASSET.TYPE","STATUS","Minors","Adult","Middle_Age_Adult","Senior_Adult","Low_Density_Housing","Medium_Density_Housing","High_Density_Housing","Other_Types","Small_Households","Medium_Households","Large_Households"
"182","Ward4",5,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"183","Ward4",5,"WR4","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"184","Ward4",5,"WR1","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"185","Ward4",5,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"186","Ward19",7,"WR2","Existing",24165,27905,33140,23280,19410,3865,22285,135,28060,14725,2915
"187","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"188","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"189","Ward24",3,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"190","Ward24",3,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"191","Ward24",4,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"192","Ward25",4,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"193","Ward24",4,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"194","Ward25",3,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"195","Ward24",4,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"196","Ward24",3,"WR1","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"197","Ward2",3,"WR1","Existing",23840,27570,32090,33700,22735,2790,19785,25,25460,15840,4045
"198","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"199","Ward1",1,"WR2","Existing",25585,35130,29380,25020,12695,7435,17995,10,17425,13920,6795
"200","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"201","Ward21",3,"WR1","Existing",23405,32600,29470,26075,14640,6810,19050,55,21370,13785,5415
"202","Ward12",5,"WR2","Existing",17945,39700,28460,28005,11645,2485,43940,45,44550,11470,2090
"203","Ward12",5,"WR2","Existing",17945,39700,28460,28005,11645,2485,43940,45,44550,11470,2090
"204","Ward10",7,"WR2","Existing",11465,82310,26590,15035,1095,3360,76015,265,70400,9175,1155
"205","Ward10",7,"WR1","Temporarily Removed",11465,82310,26590,15035,1095,3360,76015,265,70400,9175,1155
"206","Ward10",7,"WR1","Temporarily Removed",11465,82310,26590,15035,1095,3360,76015,265,70400,9175,1155
"207","Ward8",5,"WR2","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"208","Ward10",7,"WR2","Existing",11465,82310,26590,15035,1095,3360,76015,265,70400,9175,1155
"209","Ward12",5,"WR2","Existing",17945,39700,28460,28005,11645,2485,43940,45,44550,11470,2090
"210","Ward8",5,"WR2","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"211","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"212","Ward12",5,"WR1","Existing",17945,39700,28460,28005,11645,2485,43940,45,44550,11470,2090
"213","Ward12",1,"WR2","Existing",17945,39700,28460,28005,11645,2485,43940,45,44550,11470,2090
"214","Ward8",5,"WR2","Temporarily Removed",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"215","Ward25",3,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"216","Ward23",3,"WR2","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"217","Ward24",4,"WR1","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"218","Ward24",3,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"219","Ward24",4,"WR2","Existing",23205,30160,26180,23215,12975,4655,18575,40,18260,12645,5345
"220","Ward25",4,"WR2","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"221","Ward25",4,"WR2","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"222","Ward25",4,"WR2","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"223","Ward25",4,"WR2","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"224","Ward25",4,"WR1","Existing",21140,27245,26415,26685,19625,7430,5240,20,13650,12625,6040
"225","Ward1",5,"WR2","Temporarily Removed",25585,35130,29380,25020,12695,7435,17995,10,17425,13920,6795
"226","Ward5",5,"WR3","Existing",24855,32545,32015,26260,16505,3110,25405,35,25495,14930,4620
"227","Ward5",5,"WR2","Existing",24855,32545,32015,26260,16505,3110,25405,35,25495,14930,4620
"228","Ward5",5,"WR2","Existing",24855,32545,32015,26260,16505,3110,25405,35,25495,14930,4620
"229","Ward18",4,"WR1","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"230","Ward15",7,"WR1","Existing",23965,24820,28810,23420,17560,1590,20860,20,23430,12750,3850
"231","Ward15",4,"WR1","Existing",23965,24820,28810,23420,17560,1590,20860,20,23430,12750,3850
"232","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"233","Ward23",3,"WR1","Existing",17845,26225,24465,25495,14415,6810,8120,190,12235,11560,5745
"234","Ward1",3,"WR1","Existing",25585,35130,29380,25020,12695,7435,17995,10,17425,13920,6795
"235","Ward1",3,"WR1","Existing",25585,35130,29380,25020,12695,7435,17995,10,17425,13920,6795
"236","Ward18",7,"WR2","Existing",18465,41185,30515,26960,13355,3240,33940,20,32815,14585,3150
"237","Ward8",5,"WR1","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"238","Ward2",3,"WR2","Existing",23840,27570,32090,33700,22735,2790,19785,25,25460,15840,4045
"239","Ward3",5,"WR1","Existing",23620,44935,38605,32760,19950,3840,41745,35,46340,16385,2850
"240","Ward21",3,"WR1","Existing",23405,32600,29470,26075,14640,6810,19050,55,21370,13785,5415
"241","Ward21",3,"WR1","Temporarily Removed",23405,32600,29470,26075,14640,6810,19050,55,21370,13785,5415
"242","Ward9",5,"WR1","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"243","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"244","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"245","Ward13",7,"WR4","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"246","Ward13",5,"WR3","Existing",12755,57230,28185,18770,910,2675,65220,155,59115,8325,1515
"247","Ward4",1,"WR3","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"248","Ward5",5,"WR2","Existing",24855,32545,32015,26260,16505,3110,25405,35,25495,14930,4620
"249","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"250","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"251","Ward9",5,"WR1","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"252","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"253","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"254","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"255","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"256","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"257","Ward9",5,"WR1","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"258","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"259","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
"260","Ward9",5,"WR2","Existing",16995,38630,28435,20665,13125,5435,26610,505,30065,12845,2765
